familia,parametro,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
convolucion_uniforme_normal,0,10,10000,0.0829,0.0799,0.0613,0.0014,NA,0.0733,0.0489,0.0875,0.0713,0.2484,0.0384,0,0,0,0,10000,0,0,0,0,0,0,75.79173469543457
convolucion_uniforme_normal,0,25,10000,0.2871,0.2277,0.1137,2e-4,0.2648,0.1838,0.1218,0.1246,0.4337,0.6435,0.1859,0,0,0,0,0,0,0,0,0,0,0,76.78164339065552
convolucion_uniforme_normal,0,50,10000,0.7466,0.5721,0.2558,2e-4,0.8025,0.4336,0.4747,0.1894,0.8897,0.8915,0.5993,0,0,0,0,0,0,0,0,0,0,0,72.74217247962952
convolucion_uniforme_normal,0,100,10000,0.9959,0.9441,0.5931,0.5675,0.997,0.8398,0.9656,0.4605,0.9989,0.9937,0.9529,0,0,0,0,0,0,0,0,0,0,0,70.31721901893616
convolucion_uniforme_normal,0,250,10000,1,1,0.9872,1,1,0.9997,1,0.9764,1,1,1,0,0,0,0,0,0,0,0,0,0,0,75.34525918960571
convolucion_uniforme_normal,0,500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,89.71287274360657
convolucion_uniforme_normal,0.2,10,10000,0.0772,0.0759,0.0625,0.0022,NA,0.0697,0.0496,0.0848,0.0656,0.2364,0.0421,0,0,0,0,10000,0,0,0,0,0,0,71.75110006332397
convolucion_uniforme_normal,0.2,25,10000,0.2393,0.2041,0.1074,2e-4,0.2363,0.167,0.1006,0.114,0.4054,0.6067,0.167,0,0,0,0,0,0,0,0,0,0,0,73.08986282348633
convolucion_uniforme_normal,0.2,50,10000,0.6555,0.5178,0.2429,2e-4,0.759,0.4053,0.3846,0.1952,0.8608,0.875,0.5538,0,0,0,0,0,0,0,0,0,0,0,69.92779898643494
convolucion_uniforme_normal,0.2,100,10000,0.9852,0.9196,0.5578,0.4659,0.9951,0.8065,0.9227,0.4541,0.9982,0.9916,0.9364,0,0,0,0,0,0,0,0,0,0,0,67.8623571395874
convolucion_uniforme_normal,0.2,250,10000,1,1,0.9788,1,1,0.9995,1,0.9747,1,1,1,0,0,0,0,0,0,0,0,0,0,0,75.87155747413635
convolucion_uniforme_normal,0.2,500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,92.5677318572998
convolucion_uniforme_normal,0.4,10,10000,0.0676,0.0691,0.0573,0.0031,NA,0.0649,0.0451,0.0806,0.0577,0.2146,0.0383,0,0,0,0,10000,0,0,0,0,0,0,72.69458341598511
convolucion_uniforme_normal,0.4,25,10000,0.1713,0.1597,0.0989,5e-4,0.1743,0.1401,0.0685,0.1161,0.3217,0.5357,0.125,0,0,0,0,0,0,0,0,0,0,0,74.51897597312927
convolucion_uniforme_normal,0.4,50,10000,0.4627,0.3978,0.1998,1e-4,0.6128,0.3282,0.243,0.1713,0.751,0.7857,0.4206,0,0,0,0,0,0,0,0,0,0,0,70.40966272354126
convolucion_uniforme_normal,0.4,100,10000,0.8962,0.8103,0.4591,0.2364,0.967,0.6912,0.7376,0.3748,0.9862,0.9681,0.8477,0,0,0,0,0,0,0,0,0,0,0,69.62545156478882
convolucion_uniforme_normal,0.4,250,10000,1,0.9992,0.9404,0.9996,1,0.9935,0.9996,0.9133,1,0.9999,0.9998,0,0,0,0,0,0,0,0,0,0,0,76.52084112167358
convolucion_uniforme_normal,0.4,500,10000,1,1,1,1,1,1,1,0.9999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,91.52184677124023
convolucion_uniforme_normal,0.6,10,10000,0.0544,0.0568,0.0536,0.0026,NA,0.054,0.0389,0.0703,0.045,0.1823,0.033,0,0,0,0,10000,0,0,0,0,0,0,73.69929027557373
convolucion_uniforme_normal,0.6,25,10000,0.1174,0.1162,0.0797,6e-4,0.1122,0.1068,0.0482,0.0967,0.2245,0.4346,0.0853,0,0,0,0,0,0,0,0,0,0,0,75.725266456604
convolucion_uniforme_normal,0.6,50,10000,0.2809,0.2666,0.151,1e-4,0.4158,0.2272,0.1273,0.1258,0.5701,0.6374,0.2717,0,0,0,0,0,0,0,0,0,0,0,73.59750628471375
